sample.id num.tech.reps stage
SRX007811 5 Embryos0002
SRX008180 2 Embryos0002
SRX008227 1 Embryos0002
SRX008238 1 Embryos0002
SRX008258 1 Embryos0002
SRX008015 2 Embryos0204
SRX008179 1 Embryos0204
SRX008190 1 Embryos0204
SRX008193 1 Embryos0204
SRX008271 1 Embryos0204
SRX008027 4 Embryos0406
SRX008181 1 Embryos0406
SRX008217 1 Embryos0406
SRX008250 1 Embryos0406
SRX008265 2 Embryos0406
SRX008025 5 Embryos0608
SRX008175 2 Embryos0608
SRX008210 1 Embryos0608
SRX008212 1 Embryos0608
SRX008257 2 Embryos0608
SRX008010 4 Embryos0810
SRX008249 2 Embryos0810
SRX008252 2 Embryos0810
SRX008273 2 Embryos0810
SRX008274 1 Embryos0810
SRX008005 4 Embryos1012
SRX008198 1 Embryos1012
SRX008208 1 Embryos1012
SRX008243 2 Embryos1012
SRX008247 1 Embryos1012
SRX008018 4 Embryos1214
SRX008177 1 Embryos1214
SRX008225 1 Embryos1214
SRX008235 2 Embryos1214
SRX008277 1 Embryos1214
SRX008007 4 Embryos1416
SRX008196 1 Embryos1416
SRX008233 2 Embryos1416
SRX008237 1 Embryos1416
SRX008262 1 Embryos1416
SRX008006 2 Embryos1618
SRX008178 2 Embryos1618
SRX008205 1 Embryos1618
SRX008242 1 Embryos1618
SRX008278 1 Embryos1618
SRX008020 4 Embryos1820
SRX008213 1 Embryos1820
SRX008215 2 Embryos1820
SRX008222 1 Embryos1820
SRX008259 3 Embryos1820
SRX008011 2 Embryos2022
SRX008214 1 Embryos2022
SRX008221 1 Embryos2022
SRX008241 1 Embryos2022
SRX008256 1 Embryos2022
SRX008019 3 Embryos2224
SRX008167 1 Embryos2224
SRX008234 1 Embryos2224
SRX008251 1 Embryos2224
SRX008266 1 Embryos2224
SRX008026 2 L1Larvae
SRX008174 1 L1Larvae
SRX008201 2 L1Larvae
SRX008239 2 L1Larvae
SRX008008 4 L2Larvae
SRX008168 1 L2Larvae
SRX008211 1 L2Larvae
SRX008255 2 L2Larvae
SRX008261 1 L2Larvae
SRX008009 2 L3Larvae12hrpostmolt
SRX008194 1 L3Larvae12hrpostmolt
SRX008207 1 L3Larvae12hrpostmolt
SRX008224 1 L3Larvae12hrpostmolt
SRX008244 1 L3Larvae12hrpostmolt
SRX008029 3 L3LarvaePS12
SRX008184 1 L3LarvaePS12
SRX008206 2 L3LarvaePS12
SRX008220 1 L3LarvaePS12
SRX008267 1 L3LarvaePS12
SRX008014 2 L3LarvaePS36
SRX008182 2 L3LarvaePS36
SRX008187 1 L3LarvaePS36
SRX008189 1 L3LarvaePS36
SRX008200 1 L3LarvaePS36
SRX008156 2 L3LarvaePS79
SRX008199 3 L3LarvaePS79
SRX008245 1 L3LarvaePS79
SRX008253 1 L3LarvaePS79
SRX008023 2 WPP12hr
SRX008218 1 WPP12hr
SRX008246 2 WPP12hr
SRX008248 1 WPP12hr
SRX008275 1 WPP12hr
SRX008016 2 WPP24hr
SRX008192 1 WPP24hr
SRX008219 1 WPP24hr
SRX008236 1 WPP24hr
SRX008264 1 WPP24hr
SRX008013 2 adultfemale1d
SRX008188 2 adultfemale1d
SRX008197 2 adultfemale1d
SRX008228 2 adultfemale1d
SRX008022 2 adultfemale30d
SRX008183 1 adultfemale30d
SRX008185 2 adultfemale30d
SRX008216 1 adultfemale30d
SRX012269 2 adultfemale30d
SRX008024 2 adultfemale5d
SRX008173 1 adultfemale5d
SRX008195 1 adultfemale5d
SRX008202 1 adultfemale5d
SRX008254 1 adultfemale5d
SRX012270 2 adultfemale5d
SRX008012 2 adultmale1d
SRX008170 2 adultmale1d
SRX008263 1 adultmale1d
SRX008268 1 adultmale1d
SRX016332 1 adultmale1d
SRX008028 2 adultmale30d
SRX008191 2 adultmale30d
SRX008223 2 adultmale30d
SRX008260 2 adultmale30d
SRX008021 3 adultmale5d
SRX008203 1 adultmale5d
SRX008226 1 adultmale5d
SRX008229 1 adultmale5d
SRX008232 2 adultmale5d
SRX012271 4 adultmale5d
SRX008171 1 pupaeWPP2d
SRX008186 2 pupaeWPP2d
SRX008240 1 pupaeWPP2d
SRX010758 1 pupaeWPP2d
SRX016331 1 pupaeWPP2d
SRX008155 2 pupaeWPP3d
SRX008169 2 pupaeWPP3d
SRX008172 2 pupaeWPP3d
SRX008231 1 pupaeWPP3d
SRX008542 1 pupaeWPP3d
SRX008017 2 pupaeWPP4d
SRX008209 2 pupaeWPP4d
SRX008230 2 pupaeWPP4d
SRX008270 1 pupaeWPP4d
SRX008157 1 whiteprepupae
SRX008204 1 whiteprepupae
SRX008269 1 whiteprepupae
SRX008272 1 whiteprepupae
SRX008276 3 whiteprepupae
